start_day_inclusive,end_day_inclusive,device_category,platform_category,browser_platform,browser_major_version,sign_up_method,total_starts,total_completions,completion_rate_pct,google_vs_email_gap,confidence_level,version_category
2025-05-29,2025-06-25,Desktop,Windows,Chrome Windows,137,email,278,217,78.06,9.790000000000006,High Confidence,Current Chrome
2025-05-29,2025-06-25,Desktop,Windows,Chrome Windows,137,google,394,269,68.27,,High Confidence,Current Chrome
2025-05-29,2025-06-25,Desktop,Windows,Chrome Windows,136,email,56,46,82.14,13.450000000000003,High Confidence,Previous Chrome
2025-05-29,2025-06-25,Desktop,Windows,Chrome Windows,136,google,99,68,68.69,,High Confidence,Previous Chrome
2025-05-29,2025-06-25,Desktop,Windows,Chrome Windows,135,email,3,2,66.67,,Very Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,Windows,Chrome Windows,131,email,3,3,100.0,,Very Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,Windows,Chrome Windows,109,email,4,4,100.0,25.0,Very Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,Windows,Chrome Windows,109,google,4,3,75.0,,Very Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,Windows,Firefox Windows,139,email,42,27,64.29,-6.8999999999999915,Medium Confidence,Other Version
2025-05-29,2025-06-25,Desktop,Windows,Firefox Windows,139,google,59,42,71.19,,High Confidence,Other Version
2025-05-29,2025-06-25,Desktop,Windows,Firefox Windows,138,email,6,2,33.33,-33.34,Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,Windows,Firefox Windows,138,google,6,4,66.67,,Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,Windows,Firefox Windows,137,email,4,3,75.0,,Very Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,137,email,275,195,70.91,4.670000000000002,High Confidence,Current Chrome
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,137,google,388,257,66.24,,High Confidence,Current Chrome
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,136,email,147,109,74.15,4.560000000000002,High Confidence,Previous Chrome
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,136,google,171,119,69.59,,High Confidence,Previous Chrome
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,135,email,26,20,76.92,7.950000000000003,Medium Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,135,google,29,20,68.97,,Medium Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,134,email,9,8,88.89,26.39,Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,134,google,8,5,62.5,,Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,133,email,6,5,83.33,33.33,Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,133,google,6,3,50.0,,Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,132,email,4,1,25.0,,Very Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,131,email,8,7,87.5,,Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,128,email,9,8,88.89,-1.1099999999999994,Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,128,google,10,9,90.0,,Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,116,email,8,6,75.0,5.0,Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Chrome macOS,116,google,10,7,70.0,,Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Safari macOS,19,email,3,3,100.0,33.33,Very Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Safari macOS,19,google,3,2,66.67,,Very Low Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Safari macOS,18,email,379,269,70.98,3.4000000000000057,High Confidence,Current Safari
2025-05-29,2025-06-25,Desktop,macOS,Safari macOS,18,google,327,221,67.58,,High Confidence,Current Safari
2025-05-29,2025-06-25,Desktop,macOS,Safari macOS,17,email,120,90,75.0,4.790000000000006,High Confidence,Previous Safari
2025-05-29,2025-06-25,Desktop,macOS,Safari macOS,17,google,94,66,70.21,,High Confidence,Previous Safari
2025-05-29,2025-06-25,Desktop,macOS,Safari macOS,16,email,54,44,81.48,12.040000000000006,High Confidence,Other Version
2025-05-29,2025-06-25,Desktop,macOS,Safari macOS,16,google,36,25,69.44,,Medium Confidence,Other Version
2025-05-29,2025-06-25,Mobile,Android,Chrome Android,137,email,56,33,58.93,23.79,High Confidence,Current Chrome
2025-05-29,2025-06-25,Mobile,Android,Chrome Android,137,google,74,26,35.14,,High Confidence,Current Chrome
2025-05-29,2025-06-25,Mobile,Android,Chrome Android,136,email,10,9,90.0,37.06,Low Confidence,Previous Chrome
2025-05-29,2025-06-25,Mobile,Android,Chrome Android,136,google,17,9,52.94,,Low Confidence,Previous Chrome
2025-05-29,2025-06-25,Mobile,iOS,Chrome iOS,137,email,7,5,71.43,6.430000000000007,Low Confidence,Current Chrome
2025-05-29,2025-06-25,Mobile,iOS,Chrome iOS,137,google,20,13,65.0,,Medium Confidence,Current Chrome
