start_day_inclusive,end_day_inclusive,sign_up_method,total_starts,total_completions,completion_rate_pct,avg_minutes_to_complete
2025-05-28,2025-06-24,email,1881,1369,72.78,14.4
2025-05-28,2025-06-24,google,2136,1385,64.84,2.72
2025-05-27,2025-06-23,email,1887,1376,72.92,10.92
2025-05-27,2025-06-23,google,2138,1383,64.69,0.77
2025-05-26,2025-06-22,email,1902,1391,73.13,10.83
2025-05-26,2025-06-22,google,2168,1408,64.94,0.77
2025-05-25,2025-06-21,email,1915,1402,73.21,10.79
2025-05-25,2025-06-21,google,2193,1436,65.48,0.78
2025-05-24,2025-06-20,email,1920,1406,73.23,9.94
2025-05-24,2025-06-20,google,2185,1435,65.68,0.78
2025-05-23,2025-06-19,email,1909,1398,73.23,9.99
2025-05-23,2025-06-19,google,2214,1459,65.9,0.79
2025-05-22,2025-06-18,email,1914,1404,73.35,9.98
2025-05-22,2025-06-18,google,2225,1476,66.34,0.79
2025-05-21,2025-06-17,email,1909,1409,73.81,8.86
2025-05-21,2025-06-17,google,2230,1474,66.1,0.79
2025-05-20,2025-06-16,email,1936,1427,73.71,5.86
2025-05-20,2025-06-16,google,2258,1502,66.52,0.77
2025-05-19,2025-06-15,email,1966,1451,73.8,5.76
2025-05-19,2025-06-15,google,2256,1516,67.2,0.77
2025-05-18,2025-06-14,email,1993,1472,73.86,6.25
2025-05-18,2025-06-14,google,2270,1536,67.67,0.77
2025-05-17,2025-06-13,email,1999,1485,74.29,6.19
2025-05-17,2025-06-13,google,2267,1544,68.11,0.83
2025-05-16,2025-06-12,email,2006,1494,74.48,6.17
2025-05-16,2025-06-12,google,2276,1552,68.19,0.83
2025-05-15,2025-06-11,email,2024,1510,74.6,6.56
2025-05-15,2025-06-11,google,2316,1587,68.52,0.82
2025-05-14,2025-06-10,email,2048,1526,74.51,6.51
2025-05-14,2025-06-10,google,2320,1602,69.05,0.81
2025-05-13,2025-06-09,email,2049,1531,74.72,6.48
2025-05-13,2025-06-09,google,2342,1635,69.81,0.54
2025-05-12,2025-06-08,email,2064,1546,74.9,6.43
2025-05-12,2025-06-08,google,2331,1642,70.44,0.57
2025-05-11,2025-06-07,email,2083,1554,74.6,6.89
2025-05-11,2025-06-07,google,2385,1681,70.48,0.59
2025-05-10,2025-06-06,email,2089,1561,74.72,6.85
2025-05-10,2025-06-06,google,2402,1686,70.19,0.6
2025-05-09,2025-06-05,email,2081,1566,75.25,6.82
2025-05-09,2025-06-05,google,2425,1710,70.52,0.58
2025-05-08,2025-06-04,email,2095,1589,75.85,6.71
2025-05-08,2025-06-04,google,2438,1727,70.84,0.58
2025-05-07,2025-06-03,email,2122,1610,75.87,6.68
2025-05-07,2025-06-03,google,2447,1743,71.23,0.58
2025-05-06,2025-06-02,email,2140,1631,76.21,6.61
2025-05-06,2025-06-02,google,2458,1756,71.44,0.56
2025-05-05,2025-06-01,email,2156,1640,76.07,6.57
2025-05-05,2025-06-01,google,2489,1785,71.72,0.55
2025-05-04,2025-05-31,email,2179,1653,75.86,6.51
2025-05-04,2025-05-31,google,2535,1820,71.79,1.2
